country,Alcoholic.Beverages,Animal.fats,Animal.Products,Aquatic.Products..Other,Cereals...Excluding.Beer,Eggs,Fish..Seafood,Fruits...Excluding.Wine,Meat,Milk...Excluding.Butter,Miscellaneous,Offals,Oilcrops,Pulses,Spices,Starchy.Roots,Stimulants,Sugar...Sweeteners,Sugar.Crops,Treenuts,Vegetable.Oils,Vegetables,Vegetal.Products,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population,Unit..all.except.Population.,Region
"Congo, Republic of the",4.9612,0.0122,6.1258,0,6.2564,0.0457,2.3945,4.0015,3.2735,0.0963,0.173,0.3044,0.3632,0.2408,0.0033,23.2457,0.0171,1.3907,0,0.0016,0.67,2.552,43.8709,8.4,40.3,0.022505111,0.000910611,0.003029177,0.018565322,5381000,%,MiddleAfrica
Costa Rica,1.6982,0.1529,18.677,7.00E-04,8.6611,0.7582,1.3317,9.5203,3.8631,12.4535,0.0274,0.1161,0.2914,0.8354,0.0433,1.5676,0.3181,3.9006,0,0.0397,1.4363,2.9837,31.3238,25.7,4.8,0.01541502,0.000118577,0.009486166,0.005810277,5060000,%,CentralAmerica
Cote d'Ivoire,1.4487,0.0132,2.9144,0,11.4585,0.1587,1.3914,4.8741,0.9586,0.1285,0.0163,0.2648,0.6055,0.1727,0.1247,23.308,0.0759,0.7859,0,0.5443,0.8656,2.8098,47.0806,9,19,0.006533668,8.23E-05,0.003014032,0.003437329,25514000,%,NA
Croatia,4.9846,0.2296,17.311,5.00E-04,5.7726,0.3955,0.9196,3.4094,3.6945,11.8824,0,0.1889,0.3494,0.0373,0.0236,1.8078,0.2458,3.088,0,0.0761,0.3808,12.5188,32.6838,27.1,2.5,0.053662145,0.002145499,0.042564735,0.008951911,4055000,%,SouthernEurope
Cuba,2.0589,0.1202,10.0096,0,9.9309,0.5263,0.3368,9.0347,3.2837,5.5971,0.0787,0.1456,0.5346,1.1336,0.0089,5.1555,0.0657,3.1617,0,6.00E-04,0.4535,8.374,39.9895,26.7,2.5,0.015643953,0.000660007,0.010167677,0.004816268,11212000,%,Caribbean
Cyprus,3.4447,0.0277,16.1736,0.0015,7.0646,0.5746,1.8209,6.198,5.3167,8.2744,1.4858,0.1584,0.4089,0.211,0.0307,1.7705,0.2387,4.2194,0,0.1781,1.1937,7.3888,33.8191,22.6,5.6,0.07136,0.0012,0.03208,0.03808,1250000,%,WesternAsia
Czech Republic,9.8498,0.8945,17.8065,6.00E-04,5.6937,0.4964,0.5355,3.3962,4.7618,10.983,0.1099,0.134,0.0949,0.1139,0.0316,3.3991,0.134,3.8081,0,0.0477,0.9854,4.5289,32.1944,28.5,2.5,0.075866917,0.002586692,0.041677601,0.031602624,10670000,%,EasternEurope
Denmark,4.8866,1.2415,23.2141,0.001,6.7226,0.8206,1.1797,3.1098,3.6804,15.9557,0,0.3347,0.1185,0.0369,0.0774,3.1113,0.4069,2.8728,0,0.1138,0.0915,5.2431,26.7812,21.3,2.5,0.180735522,0.009039354,0.142481526,0.029214642,5819000,%,NorthernEurope
Djibouti,0.3778,0.0579,5.5215,0,20.2702,0.1275,0.4276,3.2735,1.7428,2.9085,1.1831,0.2572,0.0568,1.5724,0.1506,1.8633,0.1309,4.2005,0,0.0406,1.6153,9.7637,44.4582,12.2,18.9,0.122073922,0.000308008,0.085626283,0.03613963,974000,%,EasternAfrica
Dominica,0.941,0.0319,8.9011,0,3.4014,0.1244,1.4188,19.3028,2.782,4.4217,0.6745,0.1219,1.1058,0.2255,0.1512,6.8477,0.2553,3.1738,0,0.0035,0.3797,4.6371,41.0989,28.2,6.2,0.022222222,0,0.019444444,0.002777778,72000,%,Caribbean
Dominican Republic,3.21,0.1122,11.2417,6.00E-04,6.9232,0.6445,0.6059,18.4431,3.5009,6.1202,0.0906,0.2567,1.1395,0.5881,0.026,2.0198,0.142,2.1332,0,0.0108,1.2948,2.7385,38.7577,26.9,9.5,0.095019231,0.003701923,0.024846154,0.066471154,10400000,%,Caribbean
Ecuador,3.2929,0.1277,15.3469,0.0328,14.9132,0.6902,0.6893,8.039,4.0115,9.5745,0.1526,0.22,0.1765,0.157,0.0177,2.2701,0.0071,1.737,0,0.016,1.3777,2.4981,34.6522,19.3,7.9,0.168351865,0.009943248,0.019880704,0.138527913,17268000,%,SouthAmerica
Egypt,0.0722,0.0896,6.7374,0,17.5311,0.2307,1.5844,6.9387,1.7583,2.7568,0.0187,0.317,0.6541,0.3063,0.0655,2.6919,0.0863,1.7984,2.0338,0.0268,0.3839,10.6559,43.2622,31.1,4.5,0.009048696,0.000518856,0.002020916,0.006508924,99064000,%,NorthernAfrica
El Salvador,2.1651,0.1113,12.888,0,11.7265,0.7533,0.573,5.9517,2.6337,8.7381,0.592,0.0794,1.4273,1.4661,0.0121,2.2462,0.2649,3.526,0,0.0155,0.4565,7.2703,37.1029,22.7,9,0.012147505,0.000263403,0.004276418,0.007607685,6454000,%,CentralAmerica
Estonia,6.1949,0.4556,22.3154,5.00E-04,6.3498,0.6145,0.7127,3.5061,3.081,17.3068,0.1501,0.1457,0.0518,0.1472,0.0576,3.2403,0.2121,2.3886,0,0.0886,0.3472,4.9558,27.6779,23.8,2.9,0.130496988,0.004518072,0.05625,0.069728916,1328000,%,NorthernEurope
Eswatini,6.2239,0.1024,7.4118,0.0019,14.7814,0.1578,0.3643,8.5537,2.5917,3.9299,0.6695,0.262,0.3005,0.3578,0.1615,5.3187,0.0648,3.1796,0,0.0892,0.3258,2.5701,42.5816,13.5,20.6,0.014872263,0.000182482,0.001277372,0.013412409,1096000,%,NA
Ethiopia,2.4543,0.0276,5.2956,0,22.0779,0.0594,0.0608,1.1774,0.7462,4.2647,0.018,0.1382,0.2322,3.0195,0.4298,11.2918,0.2957,1.317,0,0.0802,0.4699,1.8449,44.6989,3.6,20.6,0.000187368,4.46E-06,8.65E-05,9.64E-05,112079000,%,EasternAfrica
Fiji,1.8598,0.2922,7.8511,0.0021,10.144,0.2682,2.3832,2.1636,3.0004,1.7421,0.2586,0.1642,4.3799,0.7746,0.05,7.8599,0.1238,9.7259,0,0.0157,0.8683,3.9255,42.1469,30,3.7,0.002017937,0,0.001569507,0.00044843,892000,%,Melanesia
Finland,4.5004,0.519,26.8865,0,5.1978,0.3979,1.5306,3.1864,3.4915,20.8378,0.7944,0.1097,0.0883,0.0533,0.0168,2.7671,0.545,1.8388,0,0.046,0.2468,3.8325,23.1132,24.9,2.5,0.106502445,0.004799855,0.072450643,0.029251947,5521000,%,NorthernEurope
France,4.1631,0.7907,21.7097,0.0011,6.9951,0.611,1.8214,4.878,4.4005,13.784,0.1918,0.301,0.1479,0.0991,0.0164,2.6963,0.2925,2.611,0,0.2093,0.8675,5.1223,28.2903,23.2,2.5,0.272668662,0.040585187,0.086602708,0.145480766,64834000,%,WesternEurope
French Polynesia,4.6997,0.0309,14.3585,0.0169,7.6479,0.5386,3.4809,4.3512,7.0798,2.9364,3.2613,0.2748,3.1818,0.1452,0.0111,3.5436,0.126,2.8715,0.6809,0.0405,0.9675,4.0992,35.6559,NA,4.2,NA,NA,NA,NA,279000,%,Polynesia
Gabon,6.1881,0.0109,8.1825,0,9.1158,0.0701,2.2578,9.0341,4.32,0.9486,0.4751,0.5758,0.8509,0.0139,0.0015,11.8727,0.0212,1.2508,0.1248,0.0051,0.4824,2.3979,41.8004,13.4,10.5,0.030376838,0.000367647,0.005055147,0.024954044,2176000,%,MiddleAfrica
"Gambia, The",2.8419,0.0114,10.1417,0,21.8908,0.2008,3.9197,0.8742,1.1134,4.8167,0.9824,0.0812,3.1637,0.1281,0.0043,0.8614,0.2719,4.1176,0,0.0897,2.2026,2.4575,39.8291,8.7,10.2,0.000851789,4.26E-05,0.000383305,0.000425894,2348000,%,WesternAfrica
Georgia,2.5343,0.2356,15.5347,0,15.6253,0.5032,0.6622,3.1735,2.6217,11.3605,0.7882,0.1507,0.084,0.0025,0.0247,3.7542,0.2397,3.311,0,0.1631,0.668,4.0993,34.4636,23.3,7.9,0.015661746,0.000250188,0.007430573,0.007980986,3997000,%,WesternAsia
Germany,6.7714,0.6715,20.8485,0.0011,6.0363,0.5947,0.6758,3.6131,4.6524,14.1789,0,0.0747,0.1701,0.0419,0.0429,3.5712,0.3493,2.507,0,0.1903,0.8104,5.0542,29.1443,25.7,2.5,0.206166065,0.009084236,0.17244284,0.024638989,83100000,%,WesternEurope
Ghana,0.9444,0.0088,2.8956,0,6.323,0.0705,1.4992,10.4274,0.8069,0.4178,0.1657,0.0917,0.7957,0.392,0.238,24.6325,0.0053,0.8128,0.2815,0.0364,0.3655,1.6849,47.1041,9.7,5.5,0.014078135,7.27E-05,0.001248308,0.012757174,30281000,%,WesternAfrica
Greece,2.2879,0.2116,17.6914,5.00E-04,7.2801,0.4539,1.026,6.3296,3.7836,12.0221,0.0596,0.1947,0.8112,0.2539,0.0243,3.1307,0.256,1.7744,0,0.6676,1.5237,7.9134,32.3038,27.4,2.5,0.025324736,0.001411083,0.012839922,0.011073731,10701000,%,SouthernEurope
Grenada,3.1315,0.1276,12.1319,0.0019,7.6569,0.9226,2.5802,11.0608,5.6546,2.7183,1.2873,0.1266,1.3768,0.6417,0.3171,2.2222,0.1104,5.448,0,0.0143,0.9959,3.6085,37.8648,20.2,NA,0.01875,0,0.011607143,0.007142857,112000,%,Caribbean
Guatemala,1.7037,0.0957,10.3765,0,15.1579,1.4676,0.2807,6.7124,3.9589,4.4093,0.0348,0.1632,0.5276,1.6504,0.0403,1.3316,0.2872,5.3058,0,0.198,0.8747,5.7997,39.624,18.8,15.2,0.005500256,0.000136511,0.000591548,0.004772197,17581000,%,CentralAmerica
Guinea,0.311,0.0213,3.8776,0,17.2911,0.1648,0.8939,7.9395,1.1561,1.4724,0.2312,0.1692,0.9506,0.3925,0,11.7958,0.1196,1.3368,0,9.00E-04,1.3271,4.4286,46.1202,6.6,16.5,0.016713046,9.00E-05,0.005712883,0.010910133,12218000,%,WesternAfrica
Guinea-Bissau,2.4603,0.0423,4.9295,0,21.6069,0.1038,0.1666,6.366,2.2155,2.1899,0.5331,0.2114,0.328,0.2499,0.0013,8.1087,0.0167,0.7893,0,0.4485,1.8016,2.3642,45.0666,8.2,28,0.03411389,0.000159659,0.001330495,0.032623736,1879000,%,WesternAfrica
Guyana,1.8708,0.0206,9.1155,0,9.7847,0.1038,1.7011,5.7954,2.5237,4.7277,0.3516,0.0385,1.8367,0.3907,0.1942,1.8384,0.0742,3.2325,0,0.0435,0.2779,15.2061,40.8722,19.2,8.1,0.012005109,0.001277139,0.004469987,0.006257982,783000,%,SouthAmerica
Haiti,1.2733,0.0402,3.5986,0,13.4196,0.0525,0.5064,12.0278,1.9687,0.8765,0.3309,0.1532,0.4829,2.0067,0.0022,11.48,0.3801,2.0961,0,0,0.8742,2.0302,46.3997,20.5,49.3,0.001340673,0.000106544,0.000150937,0.001083193,11263000,%,Caribbean
Honduras,2.0662,0.1378,13.6048,0,14.1699,0.4601,0.3339,6.8464,3.508,9.0154,0.6923,0.1505,0.1749,1.3962,0.0138,0.6796,0.4686,5.9591,0,0.0276,1.2467,2.6599,36.3883,19.4,12.9,0.018776934,0.001108147,0.002000821,0.015667966,9746000,%,CentralAmerica
Hungary,6.7533,1.0595,20.0268,7.00E-04,7.5908,0.8885,0.4113,3.0852,5.2042,12.4568,0.0039,0.0052,0.0679,0.1906,0.1802,3.046,0.1031,2.5433,0,0.0183,0.7214,5.6788,29.9644,28.6,2.5,0.032886387,0.004145343,0.009252815,0.019488229,9770000,%,EasternEurope
Iceland,4.7545,0.9461,23.97,0.0025,4.1196,0.5557,4.6117,4.8405,4.6269,13.0028,1.4022,0.2232,0.1759,0.0376,0.0676,1.9909,0.4626,3.9472,0,0.0752,0.4667,3.6874,26.0331,23.1,2.5,0.498891967,0.002770083,0.491135734,0.00498615,361000,%,NorthernEurope
India,0.1959,0.0028,11.3357,0,17.3821,0.3061,0.6499,5.4333,0.356,9.9889,0,0.0311,0.728,1.5709,0.3268,2.7906,0.0753,1.7471,0,0.1526,0.7487,7.5213,38.6568,3.8,14.5,0.004512442,0.000150946,0.001386681,0.002974815,1391885000,%,SouthernAsia
Indonesia,0.0794,0.0309,6.2575,9.00E-04,24.3918,0.4911,3.9386,5.5134,1.0316,0.5943,0.0026,0.1702,2.2113,0.0988,0.1508,4.6343,0.0406,1.8481,0,0.0564,0.8579,3.8558,43.7438,6.9,8.3,0.00508347,0.000357277,0.000971243,0.00375495,268419000,%,South-easternAsia
Iran,7.00E-04,0.5369,7.9295,0.002,14.0141,0.4916,0.7813,7.9235,2.3965,3.5808,7.00E-04,0.1405,0.054,0.4729,0.0559,3.2877,0.1299,2.198,0,0.6421,0.7706,12.5207,42.0701,25.5,4.9,0.126586502,0.007852367,0.101374075,0.01736006,83911000,%,SouthernAsia
Iraq,0.1915,0.0423,6.2809,0,24.0855,1.2467,0.445,6.4975,2.5171,1.9902,0.3975,0.0396,0.3037,0.4807,0.0304,1.0842,0.1783,3.3755,0,0.1268,2.0139,4.9563,43.7165,27.4,29,0.00681506,0.000272195,0.004329687,0.002213177,39310000,%,WesternAsia
Ireland,7.5703,0.871,18.5712,5.00E-04,6.3057,0.4653,1.1942,3.3996,4.0102,11.9469,0.2951,0.0831,0.1733,0.1325,0.0362,3.5362,0.1855,4.0147,0,0.0836,0.7497,4.951,31.4242,26.9,2.5,0.460822029,0.029277182,0.346426402,0.085118445,4939000,%,NorthernEurope
Israel,1.2876,0.1026,18.7463,0.0017,7.6277,0.5664,1.4696,6.3746,5.5003,10.9066,0.2602,0.2007,0.5233,0.364,0.0278,1.9975,0.2619,1.7747,0,0.2262,1.6743,8.8586,31.2472,26.7,2.5,0.193144735,0.002899401,0.1335368,0.056708534,8519000,%,WesternAsia
Italy,3.1892,0.2834,19.0329,5.00E-04,8.5417,0.6247,1.5816,6.0207,4.2963,12.1258,0.0403,0.1194,0.1836,0.2781,0.0064,1.9043,0.2946,1.7175,0,0.423,1.4224,6.9463,30.9671,22.9,2.5,0.361700224,0.050368713,0.170736598,0.140594913,60345000,%,SouthernEurope
Jamaica,2.4636,0.2074,11.9958,0.0074,8.5031,0.1457,1.8692,8.0661,4.3372,5.217,0.6952,0.2111,0.999,0.2177,0.3752,4.5837,0.1677,4.6889,0,0.011,0.7584,6.4772,38.0023,24.4,8,0.017431519,0.000320171,0.002205621,0.014905727,2811000,%,Caribbean
Japan,4.044,0.0751,15.3194,0.1088,12.1692,1.696,3.9283,2.8618,4.2599,5.063,0.2962,0.1883,0.7737,0.1287,0.1036,2.2072,0.3731,2.2055,0.228,0.0812,1.3445,7.8669,34.6776,4.4,2.5,0.012413219,0.000481059,0.004680615,0.007251545,126180000,%,EasternAsia
Jordan,0.0846,0.1162,9.3186,0,14.138,0.3344,0.5985,4.6624,3.8651,4.2637,0.3579,0.1397,0.728,0.6393,0.0469,2.1431,0.3742,4.7276,0,0.1652,1.9861,10.6308,40.6798,33.4,12.2,0.005000479,8.62E-05,0.003707252,0.001207012,10439000,%,WesternAsia
Kazakhstan,2.1919,0.3611,19.1598,0,6.5119,0.4584,0.2393,3.2145,3.4501,14.3591,0.2967,0.2914,0.1154,0.0255,0.0106,5.4755,0.1319,1.456,0,0.0845,1.1215,10.2055,30.8394,21.3,2.5,0.026878816,0.000167486,0.009595332,0.017115998,18509000,%,CentralAsia
Kenya,1.9664,0.1175,11.4394,0,15.1221,0.1447,0.4329,4.6941,1.7336,8.7987,0.025,0.211,0.2686,1.751,0.0174,7.5828,0.223,1.8098,0,0.0892,0.6689,4.345,38.5589,6,29.4,0.00123445,5.71E-05,0.000393731,0.000783657,52574000,%,EasternAfrica
Kiribati,0.297,0.0486,8.8958,0,8.2747,0.164,6.1065,5.8907,2.3856,0.1561,0.5104,0.035,9.9946,0.0032,0.0064,7.183,0.0311,4.1373,0,0.1951,0.4419,4.1389,41.1042,45.6,2.7,NA,NA,NA,NA,123000,%,Micronesia
"Korea, North",0.8981,0.001,3.3933,0.001,17.9378,0.4668,1.1568,6.1383,1.3872,0.3146,0.069,0.066,0.209,1.1,0,6.2438,0.0142,0.3694,0,0.0426,0.7783,12.8082,46.6046,7.1,47.8,NA,NA,NA,NA,25666000,%,NA
"Korea, South",4.8669,0.2553,11.8174,1.6794,11.7286,0.6414,3.4396,3.6993,4.4239,1.1394,0,0.2378,0.5632,0.072,0.0288,0.9799,0.0945,2.4835,6.00E-04,0.1664,1.1663,12.3349,38.181,4.9,2.5,0.020973653,0.00049377,0.018535663,0.001944219,51846000,%,NA
Kuwait,0.0044,0.0022,10.7213,0.0022,11.4132,1.3306,0.8343,5.3058,4.877,3.4788,0.8554,0.1969,0.2783,0.4353,0.202,3.2296,0.2696,2.9163,0.0276,0.1512,1.1976,12.9953,39.275,37,2.8,0.181198003,0.001164725,0.062324697,0.117708581,4207000,%,WesternAsia
Kyrgyzstan,0.6313,0.191,15.4588,0,10.1059,0.2653,0.07,2.2846,1.8707,12.8008,0.2076,0.2604,0.0098,0.3439,0.0197,5.8068,0.0608,3.2495,0,0.1449,0.355,11.3219,34.5412,15.4,7.1,0.014418461,0.000185845,0.010190491,0.004042125,6457000,%,CentralAsia
Laos,0.7883,0.0979,3.6579,6.00E-04,16.3943,0.1063,1.4213,8.8158,1.7111,0.1632,0.3404,0.1581,0.3584,0.1485,0.1317,3.4835,0.9869,1.1101,1.9254,0.0028,0.2149,11.641,46.3416,4.5,16.5,0.000266293,0,0.0001822,8.41E-05,7135000,%,South-easternAsia
Latvia,5.4573,1.1805,18.8216,5.00E-04,6.3952,0.6645,1.3226,2.5738,3.6559,11.8285,0.2596,0.1686,0.1107,0.0032,0.0122,6.5835,0.1963,2.6169,0,0.0793,0.699,6.1946,31.1757,25.7,2.5,0.048614741,0.00094093,0.024255097,0.023418714,1913000,%,NorthernEurope
Lebanon,0.7164,0.0796,8.0679,0,11.8253,0.173,0.7091,6.9852,1.9469,5.0748,0.0747,0.0853,0.5052,0.5011,0.0406,3.2676,0.3647,5.1366,0,0.5271,1.4807,10.5128,41.9252,31.3,11,0.011799883,0.00037923,0.003413069,0.008007585,6856000,%,WesternAsia
Lesotho,3.4135,0.0233,6.0914,0,23.4645,0.1204,0.2383,1.8065,2.529,2.7893,0.3898,0.3924,0.0725,1.1603,0.1165,7.1935,0.0363,2.2079,0,0.0052,0.6786,3.3721,43.8988,13.5,13.1,NA,NA,NA,NA,2125000,%,SouthernAfrica
Liberia,1.0338,0.0264,3.7603,0,16.1465,0.1598,0.7764,5.3606,2.4123,0.1545,0.2997,0.2311,0.4159,0.0977,0.0013,15.3608,0.0132,1.1236,1.1804,0.0779,1.9567,3.1728,46.2383,8.6,37.2,0.004030788,0.000405104,0.001600162,0.002025522,4937000,%,WesternAfrica
Lithuania,5.5419,0.5316,23.049,9.00E-04,6.4732,0.7,1.5431,2.4007,3.7899,16.3529,0.0126,0.1301,0.0867,0.4388,0.0546,2.2766,0.2164,4.502,0,0.055,0.4924,4.4045,26.9471,28.4,2.5,0.051811984,0.001758163,0.029709365,0.020344456,2787000,%,NorthernEurope
Luxembourg,8.0858,0.5443,14.6038,0.0051,5.1366,0.7875,1.6249,4.4841,4.0469,7.4929,0.3877,0.1036,0.1658,0.0399,0.0586,2.2067,1.2823,8.1121,0,0.0308,0.563,4.8536,35.3838,24.2,2.5,0.625322581,0.016290323,0.572580645,0.036451613,620000,%,WesternEurope
Madagascar,0.7972,0.0415,4.9125,0.0024,19.9604,0.077,0.6267,5.0701,1.4618,2.5031,0.0782,0.2002,0.1848,0.3708,0.0486,14.4675,0.2085,1.0922,0.5852,0.0261,0.3115,1.8871,45.0869,4.5,44.4,0.000715636,0,0.000374504,0.000341132,26969000,%,EasternAfrica
Malawi,1.1827,0.0814,2.7754,0,10.6197,0.0829,0.697,8.4723,1.4923,0.2524,0.0396,0.1695,0.5436,1.1841,0.0139,20.2901,0.0389,0.6412,0,0.0161,0.204,3.9786,47.2242,4.7,17.5,0.000300607,1.61E-05,7.52E-05,0.000209351,18629000,%,EasternAfrica
Malaysia,0.8948,0.0882,12.6354,0.0204,17.3088,1.6596,5.3482,4.1713,4.9092,0.53,0.1541,0.0789,0.5801,0.2617,0.4502,1.6568,0.1012,3.903,0,0.0835,1.6336,6.1678,37.3632,15.3,2.5,0.020117241,0.000329741,0.015049003,0.004738497,32753000,%,South-easternAsia
Maldives,0.6859,0.0029,14.2704,0.0068,11.5385,1.1422,8.7959,6.0777,2.0051,2.3155,3.0315,0.0019,0.2082,0.0808,0.3434,1.6403,0.396,2.979,0.1002,0.7569,0.1819,7.718,35.7208,7.9,10.3,0.147663551,0.000560748,0.005420561,0.141682243,535000,%,SouthernAsia
Mali,2.8904,0.0444,10.1637,0,19.8566,0.0573,0.7543,3.8991,1.9124,7.1206,0.1841,0.2746,0.491,0.7955,0.0638,2.6772,0.0614,0.8811,0,0.2374,0.5144,7.2943,39.8262,7.1,6.3,0.003520195,0.000188219,0.001515922,0.001816055,19658000,%,WesternAfrica
Malta,3.9051,0.2062,13.6092,0.0017,7.8996,0.6714,1.7922,4.631,4.6096,6.2546,0.0315,0.0747,0.2899,0.2197,0.0331,2.059,0.2101,5.2164,0,0.1236,0.486,11.2856,36.3899,31,2.5,0.098,0.001,0.0854,0.0116,5.00E+05,%,SouthernEurope
Mauritania,0.0055,0.1127,15.0193,0,20.4873,0.2539,1.0025,1.2991,3.3994,9.825,0.7519,0.4279,0.0799,1.0999,0.0066,1.0168,0.3677,4.3166,0,0,1.5716,3.9784,34.9779,11.3,10.4,0.000176757,2.21E-05,0.000132567,2.21E-05,4526000,%,WesternAfrica
Mauritius,3.0805,0.0074,9.27,0.0102,17.1855,0.591,2.1303,3.568,4.6992,1.7166,1.0545,0.1173,0.4479,0.856,0.1847,1.8348,0.1625,3.568,0,0.0369,2.049,6.7122,40.7175,11.5,6.5,0.026224329,0.000789889,0.025276461,0.000157978,1266000,%,EasternAfrica
Mexico,4.4105,0.1672,15.1527,0.0201,11.4325,1.2967,0.9656,7.6794,4.3561,7.9917,0.0275,0.3552,0.1947,0.7071,0.1121,1.1644,0.0248,3.2266,0,0.1121,0.6856,5.0713,34.8456,28.4,3.6,0.026434502,0.00264898,0.017241679,0.006543843,126577000,%,CentralAmerica
Mongolia,3.143,0.3846,25.8904,0,10.1415,0.3727,0.044,1.0413,8.0929,15.856,0.5962,1.1411,0.0266,0.0366,0.0037,2.6155,0.1401,1.468,0,0.0137,0.555,4.3326,24.1046,19.6,13.4,0.001284797,0,0.000428266,0.000856531,3269000,%,EasternAsia
Montenegro,2.2188,0.2067,22.8328,0.0014,5.0447,0.5542,0.6472,5.7297,3.3604,17.9487,0.847,0.1132,0.0865,0.2113,0.0175,1.1955,0.2605,6.0418,0,0.0948,0.4258,5.0001,27.1612,24.9,2.5,0.052090032,0.001286174,0.044051447,0.006752412,622000,%,SouthernEurope
Morocco,0.287,0.1449,8.4754,0,18.7029,0.4848,1.3901,7.211,2.5074,3.754,0.0079,0.1949,0.1892,0.3306,0.1185,3.4356,0.2042,2.6816,0,0.2549,0.8168,7.286,41.5224,25.6,3.4,0.016607188,0.000522663,0.006915447,0.009169079,35587000,%,NorthernAfrica
Mozambique,1.2195,0.0297,4.0111,0,13.1904,0.1932,1.1353,2.8312,0.9302,1.6385,0.1565,0.0852,0.1258,1.2809,0.004,22.2864,0.105,1.0649,0,0.2011,0.7509,2.7738,45.9864,6,27.9,0.000286505,0,0.000111967,0.000174537,30366000,%,EasternAfrica
Burma,0.2195,0.1751,13.5188,0.0034,16.7608,0.4613,4.0424,4.0287,4.9753,3.6306,0.3391,0.2298,1.1003,1.2806,0.217,1.4514,0.2298,2.8592,0,0.2913,0.6322,7.0725,36.4807,5.7,10.6,NA,NA,NA,NA,54045000,%,South-easternAsia
Namibia,5.4716,0.1134,9.6094,0.0053,9.9189,0.1196,1.0164,3.1266,2.6844,5.4479,0.7228,0.2207,0.0818,0.7298,0.1266,12.8231,0.0888,3.9848,9.00E-04,0.0114,0.9531,2.3626,40.38,15,27.3,0.000641283,0,0.000400802,0.000240481,2495000,%,SouthernAfrica
Nepal,0.3318,0.0312,5.4355,0,18.1511,0.1435,0.205,4.7443,0.9817,3.9212,0.0594,0.1536,0.0594,0.9107,0.4195,6.0521,0.0319,0.547,3.0677,0.0978,0.8209,9.277,44.5576,3.8,8.7,0.000384494,0,0.000108358,0.000276137,28609000,%,SouthernAsia
Netherlands,4.3903,0.3343,24.2977,0.0111,4.9685,0.747,1.1517,4.923,4.0105,18.0051,0,0.0397,0.1111,0.0852,0.064,4.2639,0.2904,2.3446,0,0.1587,0.8485,3.2587,25.6959,23.1,2.5,0.245635997,0.031387367,0.000859533,0.213389097,17335000,%,WesternEurope
New Caledonia,5.0363,0.0821,11.7818,0.0804,8.584,0.7494,2.0361,5.5855,5.8687,2.7675,3.6589,0.1993,2.2961,0.1275,0.0488,2.5648,0.1745,3.1901,0,0.0376,1.3157,5.5941,38.2208,NA,7.1,NA,NA,NA,NA,291000,%,Melanesia
New Zealand,5.222,0.7446,17.5777,0.017,7.7522,0.7067,1.6771,4.0202,6.8421,7.4627,0,0.1275,0.3296,0.2414,0.0495,3.3719,0.2374,3.8188,0.0109,0.1499,0.5364,6.6889,32.4155,32,2.5,0.030042228,0.00042228,0.027568872,0.002051076,4973000,%,Oceania
Nicaragua,1.7194,0.0836,13.1538,0.003,16.8052,0.549,0.6557,3.8377,3.1044,8.5527,0.6658,0.2055,0.3354,1.3618,0.006,1.9118,0.005,5.7021,0,0.003,0.9227,3.5808,36.8356,21.8,17,0.000244424,7.64E-05,0.000106936,6.11E-05,6546000,%,CentralAmerica
Niger,0.0558,0.1185,7.2385,0,22.2843,0.0239,0.2022,2.5503,1.2702,5.4224,0.0687,0.2022,1.4804,3.4838,0.0807,1.3489,0.0349,0.3666,0,0,0.3975,10.6117,42.7585,4.7,16.5,0.003496204,0.000193042,0.002646819,0.000656342,23311000,%,WesternAfrica
Nigeria,4.0037,0.0151,1.7391,0,10.922,0.1976,0.7239,4.4268,0.5675,0.173,0.0437,0.0627,0.4763,0.8311,0.1715,19.5271,0.0064,0.6501,0,0.0841,0.8573,6.2627,48.2585,7.8,13.4,0.002065544,6.37E-05,0.000370713,0.001631138,200964000,%,WesternAfrica
Macedonia,1.9045,0.3784,12.0639,0,7.3937,0.2847,0.3507,5.0893,2.0683,8.8045,0.2959,0.1773,0.3253,0.2847,0.1288,3.6779,0.2474,2.9104,0,0.1796,0.9505,14.5512,37.933,23.9,3.2,0.078055823,0.004379211,0.053512993,0.020163619,2078000,%,NA
Norway,3.7939,0.6119,21.1992,5.00E-04,5.9777,0.6194,2.7466,4.2801,3.6083,13.5227,3.6634,0.0893,0.3113,0.3204,0.0235,2.8097,0.4819,2.2652,0,0.099,0.8697,3.9131,28.7933,25,2.5,0.15152479,0.004097287,0.00059869,0.146828812,5345000,%,NorthernEurope
Oman,0.2621,0.0571,13.5101,0,9.6835,0.5741,2.0105,9.787,3.0531,7.6265,0.0423,0.1888,0.1338,0.2776,0.2297,1.6984,0.1395,2.5903,0.0077,0.0521,0.6995,10.8902,36.486,22.9,6.8,0.068668797,0.000362087,0.022747604,0.045559105,4695000,%,WesternAsia
Pakistan,0.0085,0.0969,22.2758,0.0011,14.6224,0.3577,0.1831,2.4099,1.7957,19.6466,0.0117,0.1969,0.3577,0.6993,0.1618,1.8202,0.5258,2.6707,1.7915,0.0852,0.3417,2.2173,27.7226,7.8,20.3,0.013268995,0.000293676,0.003605846,0.009369473,216565000,%,SouthernAsia
