country,Alcoholic.Beverages,Animal.fats,Animal.Products,Aquatic.Products..Other,Cereals...Excluding.Beer,Eggs,Fish..Seafood,Fruits...Excluding.Wine,Meat,Milk...Excluding.Butter,Miscellaneous,Offals,Oilcrops,Pulses,Spices,Starchy.Roots,Stimulants,Sugar...Sweeteners,Sugar.Crops,Treenuts,Vegetable.Oils,Vegetables,Vegetal.Products,Obesity,Undernourished,Confirmed,Deaths,Recovered,Active,Population,Unit..all.except.Population.,Region
Timor-Leste,0.4459,0.0897,5.4983,0,26.332,0.1025,1.0225,2.1027,4.0376,0.1307,0.8905,0.1153,0.5612,0.9098,0.05,5.5022,1.0136,2.8203,0,0.0013,0.6842,3.1867,44.503,2.9,24.9,0.001856148,0,0.00162413,0.000232019,1293000,%,South-easternAsia
Togo,1.0144,0.0292,3.6702,0,15.8144,0.1067,1.3178,0.91,1.4133,0.7246,0.7448,0.0775,0.4718,1.7626,0.0595,20.0654,0.0843,1.8312,0,0,1.4099,2.1637,46.3287,7.1,16.1,0.001893096,0.000123732,0.001076466,0.000692898,8082000,%,WesternAfrica
Trinidad and Tobago,2.4881,0.2804,12.7835,0,13.0903,0.4044,2.3299,4.9733,6.7063,2.8789,0.2413,0.1837,1.2016,0.8939,0.2305,3.5148,0.0899,5.62,0,0.0928,1.2563,3.5256,37.2145,19.7,5.5,0.008516887,0.000587372,0.00763583,0.000293686,1362000,%,Caribbean
Tunisia,0.7037,0.2083,9.6312,0,12.0523,0.4508,0.7615,5.4307,1.6411,6.4775,0.0116,0.0926,0.2031,0.4311,0.1065,1.7724,0.1979,2.0832,0,0.3489,1.2551,15.7731,40.3673,27.3,4.3,0.008846978,0.000385769,0.005657951,0.002803258,11665000,%,NorthernAfrica
Turkey,0.6474,0.1459,12.3156,0,9.708,0.3956,0.2582,6.8321,2.0694,9.3619,0.0101,0.0857,0.272,0.682,0.1251,2.4947,0.2002,1.7004,0,0.4664,1.0174,13.5284,37.6836,32.2,2.5,0.165984723,0.004526251,0.108320118,0.053138354,82607000,%,WesternAsia
Turkmenistan,0.5038,0.3373,16.0611,0,14.8029,0.5139,0.2137,4.1441,4.3767,10.5606,0.253,0.0589,0.0661,0.1032,0.0015,2.3,0.0945,0.6746,0,0.0283,0.5655,10.4014,33.9389,17.5,5.4,NA,NA,NA,NA,5942000,%,CentralAsia
Uganda,6.1671,0.0352,5.6473,0,6.748,0.0815,1.0442,11.3112,0.8978,3.4755,0.0371,0.113,0.6338,2.3942,0.012,12.361,0.013,1.2601,0,0,0.744,2.6703,44.3536,4.1,41,0.000262028,0,0.000124238,0.000137791,44270000,%,EasternAfrica
Ukraine,2.625,0.1753,13.1214,6.00E-04,9.3613,0.8434,0.6821,2.9418,2.7425,8.5442,0.007,0.1339,0.0175,0.1099,0.0111,7.6721,0.0883,3.8811,0,0.0807,0.647,9.4361,36.8777,26.1,3.5,0.034992982,0.00089445,0.006920094,0.027178438,42037000,%,EasternEurope
United Arab Emirates,0,0.1896,10.5491,0,12.906,0.5958,1.9682,8.1938,4.94,2.6468,0.9471,0.2095,0.6133,2.1108,0.3194,0.8937,0.1649,3.6576,0,0.5838,0.7949,8.2695,39.4461,29.9,2.6,0.181692051,0.001929898,0.044804924,0.134957229,9586000,%,WesternAsia
United Kingdom,5.2632,0.2754,18.8798,6.00E-04,6.5412,0.621,1.0911,4.9551,4.4181,12.3684,0.6658,0.1056,0.224,0.2035,0.0653,5.1133,0.2461,2.4383,0,0.0901,0.7372,4.5851,31.1116,29.5,2.5,0.323979172,0.0473748,0.001497763,0.275106609,66833000,%,NorthernEurope
